"Notes"	"County"	"County Code"	"Month"	"Month Code"	Births
	"Baldwin County, AL"	"01003"	"January"	"1"	186
	"Baldwin County, AL"	"01003"	"February"	"2"	177
	"Baldwin County, AL"	"01003"	"March"	"3"	165
	"Baldwin County, AL"	"01003"	"April"	"4"	166
	"Baldwin County, AL"	"01003"	"May"	"5"	218
	"Baldwin County, AL"	"01003"	"June"	"6"	192
	"Baldwin County, AL"	"01003"	"July"	"7"	190
	"Baldwin County, AL"	"01003"	"August"	"8"	198
	"Baldwin County, AL"	"01003"	"September"	"9"	184
	"Baldwin County, AL"	"01003"	"October"	"10"	194
	"Baldwin County, AL"	"01003"	"November"	"11"	188
	"Baldwin County, AL"	"01003"	"December"	"12"	186
"Total"	"Baldwin County, AL"	"01003"			2244
	"Calhoun County, AL"	"01015"	"January"	"1"	124
	"Calhoun County, AL"	"01015"	"February"	"2"	89
	"Calhoun County, AL"	"01015"	"March"	"3"	99
	"Calhoun County, AL"	"01015"	"April"	"4"	84
	"Calhoun County, AL"	"01015"	"May"	"5"	108
	"Calhoun County, AL"	"01015"	"June"	"6"	100
	"Calhoun County, AL"	"01015"	"July"	"7"	118
	"Calhoun County, AL"	"01015"	"August"	"8"	124
	"Calhoun County, AL"	"01015"	"September"	"9"	109
	"Calhoun County, AL"	"01015"	"October"	"10"	120
	"Calhoun County, AL"	"01015"	"November"	"11"	92
	"Calhoun County, AL"	"01015"	"December"	"12"	124
"Total"	"Calhoun County, AL"	"01015"			1291
	"Etowah County, AL"	"01055"	"January"	"1"	107
	"Etowah County, AL"	"01055"	"February"	"2"	92
	"Etowah County, AL"	"01055"	"March"	"3"	110
	"Etowah County, AL"	"01055"	"April"	"4"	105
	"Etowah County, AL"	"01055"	"May"	"5"	79
	"Etowah County, AL"	"01055"	"June"	"6"	88
	"Etowah County, AL"	"01055"	"July"	"7"	100
	"Etowah County, AL"	"01055"	"August"	"8"	96
	"Etowah County, AL"	"01055"	"September"	"9"	92
	"Etowah County, AL"	"01055"	"October"	"10"	89
	"Etowah County, AL"	"01055"	"November"	"11"	98
	"Etowah County, AL"	"01055"	"December"	"12"	103
"Total"	"Etowah County, AL"	"01055"			1159
	"Houston County, AL"	"01069"	"January"	"1"	94
	"Houston County, AL"	"01069"	"February"	"2"	115
	"Houston County, AL"	"01069"	"March"	"3"	98
	"Houston County, AL"	"01069"	"April"	"4"	115
	"Houston County, AL"	"01069"	"May"	"5"	100
	"Houston County, AL"	"01069"	"June"	"6"	119
	"Houston County, AL"	"01069"	"July"	"7"	120
	"Houston County, AL"	"01069"	"August"	"8"	109
	"Houston County, AL"	"01069"	"September"	"9"	109
	"Houston County, AL"	"01069"	"October"	"10"	107
	"Houston County, AL"	"01069"	"November"	"11"	123
	"Houston County, AL"	"01069"	"December"	"12"	94
"Total"	"Houston County, AL"	"01069"			1303
	"Jefferson County, AL"	"01073"	"January"	"1"	727
	"Jefferson County, AL"	"01073"	"February"	"2"	668
	"Jefferson County, AL"	"01073"	"March"	"3"	652
	"Jefferson County, AL"	"01073"	"April"	"4"	704
	"Jefferson County, AL"	"01073"	"May"	"5"	760
	"Jefferson County, AL"	"01073"	"June"	"6"	715
	"Jefferson County, AL"	"01073"	"July"	"7"	780
	"Jefferson County, AL"	"01073"	"August"	"8"	779
	"Jefferson County, AL"	"01073"	"September"	"9"	756
	"Jefferson County, AL"	"01073"	"October"	"10"	823
	"Jefferson County, AL"	"01073"	"November"	"11"	722
	"Jefferson County, AL"	"01073"	"December"	"12"	839
"Total"	"Jefferson County, AL"	"01073"			8925
	"Lee County, AL"	"01081"	"January"	"1"	144
	"Lee County, AL"	"01081"	"February"	"2"	128
	"Lee County, AL"	"01081"	"March"	"3"	160
	"Lee County, AL"	"01081"	"April"	"4"	167
	"Lee County, AL"	"01081"	"May"	"5"	161
	"Lee County, AL"	"01081"	"June"	"6"	170
	"Lee County, AL"	"01081"	"July"	"7"	145
	"Lee County, AL"	"01081"	"August"	"8"	142
	"Lee County, AL"	"01081"	"September"	"9"	155
	"Lee County, AL"	"01081"	"October"	"10"	175
	"Lee County, AL"	"01081"	"November"	"11"	159
	"Lee County, AL"	"01081"	"December"	"12"	184
"Total"	"Lee County, AL"	"01081"			1890
	"Madison County, AL"	"01089"	"January"	"1"	360
	"Madison County, AL"	"01089"	"February"	"2"	321
	"Madison County, AL"	"01089"	"March"	"3"	331
	"Madison County, AL"	"01089"	"April"	"4"	351
	"Madison County, AL"	"01089"	"May"	"5"	376
	"Madison County, AL"	"01089"	"June"	"6"	338
	"Madison County, AL"	"01089"	"July"	"7"	359
	"Madison County, AL"	"01089"	"August"	"8"	366
	"Madison County, AL"	"01089"	"September"	"9"	369
	"Madison County, AL"	"01089"	"October"	"10"	379
	"Madison County, AL"	"01089"	"November"	"11"	346
	"Madison County, AL"	"01089"	"December"	"12"	358
"Total"	"Madison County, AL"	"01089"			4254
	"Mobile County, AL"	"01097"	"January"	"1"	461
	"Mobile County, AL"	"01097"	"February"	"2"	446
	"Mobile County, AL"	"01097"	"March"	"3"	476
	"Mobile County, AL"	"01097"	"April"	"4"	423
	"Mobile County, AL"	"01097"	"May"	"5"	452
	"Mobile County, AL"	"01097"	"June"	"6"	403
	"Mobile County, AL"	"01097"	"July"	"7"	500
	"Mobile County, AL"	"01097"	"August"	"8"	502
	"Mobile County, AL"	"01097"	"September"	"9"	517
	"Mobile County, AL"	"01097"	"October"	"10"	506
	"Mobile County, AL"	"01097"	"November"	"11"	477
	"Mobile County, AL"	"01097"	"December"	"12"	519
"Total"	"Mobile County, AL"	"01097"			5682
	"Montgomery County, AL"	"01101"	"January"	"1"	287
	"Montgomery County, AL"	"01101"	"February"	"2"	258
	"Montgomery County, AL"	"01101"	"March"	"3"	260
	"Montgomery County, AL"	"01101"	"April"	"4"	231
	"Montgomery County, AL"	"01101"	"May"	"5"	256
	"Montgomery County, AL"	"01101"	"June"	"6"	234
	"Montgomery County, AL"	"01101"	"July"	"7"	295
