-113.998,51.293,Flying J - Cardlock; 10 Truck Parking Spots; #0813,(403) 948-4193,85 East Lake Cresent,Airdrie,AB,T4B 2B5,CAN
-111.870271,50.572025,Flying J; 20 Truck Parking Spots; #0792,(403) 362-5594,Hwy 1 & CR542; 1260 Cassils Road East,Brooks,AB,T1R 1B7,CAN
-114.005,51.075,Flying J - Cardlock; 130 Truck Parking Spots; #0814,(403) 250-3835,Hwy 1 Barlow Trl Exit; 2525 23rd St NE,Calgary,AB,T2E 7M1,CAN
-113.974642,50.989619,Flying J; 15 Truck Parking Spots; #0793,(403) 236-2404,Hwy 2; 4216 72 Ave SE,Calgary,AB,T2C 2C1,CAN
-114.00238,51.00919,Flying J; 80 Truck Parking Spots; #0848,(403) 569-6250,Hwy 2; 4949 Barlow Trail SE,Calgary,AB,T2B 3B5,CAN
-113.978329,50.950163,Flying J; RV Lanes/RV Dump/Propane; 128 Truck Parking Spots; #0785,(403) 720-0904,Hwy 35 Exit 240; 11511 40th Street N,Calgary,AB,T2H 1L4,CAN
-114.988,53.227,Flying J - Cardlock; 130 Truck Parking Spots; #0815,(801) 725-1370,5505 Jubilee Ave,Drayton Valley,AB,T7A 1S3,CAN
-113.53,53.618,Flying J - Cardlock; 130 Truck Parking Spots; #0816,(708) 413-9116,15609 - 121 Ave,Edmonton,AB,T5V 1B1,CAN
-113.61202,53.57087,Flying J; 100 Truck Parking Spots; #0850,(780) 455-1111,Hwy 2 Exit 366; 16806 118 Ave,Edmonton,AB,T5V 1M8,CAN
-116.422,53.584,Flying J - Cardlock; 130 Truck Parking Spots; #0818,(780) 723-4744,2520 - 2 Ave,Edson Motco,AB,T7E 1T9,CAN
-111.359,56.695,Flying J - Cardlock; 130 Truck Parking Spots; #0819,(780) 743-3556,345 Sakitawaw Trail,Fort McMurray,AB,T9H 4E4,CAN
-118.821,55.163,Flying J - Cardlock; 130 Truck Parking Spots; #0820,(780) 532-2378,9212 - 108 St,Grande Prairie,AB,T8V 4C9,CAN
-112.6854,54.8205,Flying J; 75 Truck Parking Spots; #0845,(780) 525-2295,Hwy 55/63; 1st St. & 1st Ave. Hwy 63,Grassland,AB,T0A 1V0,CAN
-111.8497,51.61932,Flying J; 100 Truck Parking Spots; #0846,(403) 854-5000,Hwy 9 & Hwy 36 South,Hanna,AB,T0J 1P0,CAN
-117.582,53.403,Flying J - Cardlock; 130 Truck Parking Spots; #0817,(780) 817-1150,294 Kelly Rd,Hinton,AB,T7V 1H2,CAN
-112.779,49.676,Flying J - Cardlock; 97 Truck Parking Spots; #0821,(403) 328-4735,1005 43rd St,Lethbridge,AB,T1K 7B8,CAN
-110.037,53.286,Flying J - Cardlock; 97 Truck Parking Spots; #0822,(780) 875-2990,Hwy 16 62nd Ave Exit; 5109 63 St Ave,Lloydminster,AB,T9V 2E7,CAN
-113.765716,50.341752,Flying J; RV Dump/Propane; 70 Truck Parking Spots; #0869,(403) 646-2810,2810 21st Ave,Nanton,AB,T0L 1R0,CAN
-113.542675,53.338064,Flying J; Propane; 8 Truck Parking Spots; #0795,(780) 955-3535,Hwy 2 Exit 525; 302 20th Avenue,Nisku,AB,T9E 7T8,CAN
-113.848712,52.287509,Flying J; RV Dump/Propane; 26 Truck Parking Spots; #0796,(403) 346-2842,Hwy 11; 6607 67th St,Red Deer,AB,T4P 1A4,CAN
-110.773289,50.079788,Flying J - Cardlock; 200 Truck Parking Spots; #0826,(403) 526-2669,115 Lockwood St,Redcliff,AB,T1A 7T9,CAN
-118.695,55.75839,Flying J; Propane; 8 Truck Parking Spots; #0797,(780) 765-3740,Hwy 49 & 2,Rycroft,AB,T0H 3A0,CAN
-113.317796,53.565884,Flying J; RV Lanes/Propane; 142 Truck Parking Spots; #0786,(780) 416-2035,50 Pembina Rd,Sherwood Park,AB,T8H 2G9,CAN
-115.695,54.137,Flying J; 41 Truck Parking Spots; #0824,(780) 779-4945,5329 Govenlock Mountain Rd,Whitecourt,AB,T7N 1S9,CAN
-86.850799,33.529903,Pilot Travel Center; 100 Truck Parking Spots; #0369,(205) 324-4532,I-20/59/65 Exit 123; 901 Bankhead Hwy,Birmingham,AL,35204,USA
-86.831128,33.562502,Flying J; RV Lanes/RV Dump/Propane; 157 Truck Parking Spots/RV Parking; #0602,(205) 323-2177,I-65 Exit 264; 224 Daniel Payne Dr,Birmingham,AL,35207,USA
-85.399735,31.191816,Flying J; RV Lanes/RV Dump/Propane; 158 Truck Parking Spots/RV Parking; #0603,(334) 792-5152,2190 Ross Clark Circle,Dothan,AL,36301,USA
-86.863208,34.116643,Pilot Travel Center; 70 Truck Parking Spots; #1550.,(256) 255-5638,I-65 Exit 304; 1600 CR 437,Good Hope,AL,35055,USA
-86.420881,32.193847,Flying J; RV Lanes/RV Dump/Propane; 127 Truck Parking Spots/RV Parking; #0604,(334) 613-0212,I-65 Exit 158; 900 Tyson Rd,Hope Hull,AL,36043,USA
-86.160873,33.593159,Pilot Travel Center; Propane; 80 Truck Parking Spots; #0497,(205) 763-2225,I-20 Exit 165; 130 Honda Dr,Lincoln,AL,35096,USA
-86.122246,33.593965,Pilot Travel Center; #1549,(205) 763-1631,I-20 Exit 168; 75750 Hwy 77,Lincoln,AL,35096,USA
-87.047228,33.321591,Flying J; RV Lanes/RV Dump/Propane; 150 Truck Parking Spots/RV Parking; #0601,(205) 477-9181,I-20/59 Exit 104; 6098 MacAshan Dr,McCalla,AL,35111,USA
-86.913355,34.538177,Pilot Travel Center; RV Lanes/RV Dump; 90 Truck Parking Spots; #0441,(256) 353-5252,I-65 Exit 334; 3240 Point Mallard Pkwy,Priceville,AL,35603,USA
-88.046126,30.871085,Pilot Travel Center; 125 Truck Parking Spots; #0075,(251) 679-6260,I-65 Exit 19; 6109 US 43 South,Satsuma,AL,36572,USA
-88.205334,30.56014,Pilot Travel Center; 65 Truck Parking Spots; #0302,(251) 653-8834,I-10 Exit 13; 6955 Theodore Dawes,Theodore,AL,36582,USA
-87.477331,33.172634,Pilot Travel Center; 125 Truck Parking Spots; #0076,(205) 553-9710,I-20/59 Exit 76; 4416 Skyland Blvd,Tuscaloosa,AL,35405,USA
-92.534299,34.602672,Pilot Travel Center; 70 Truck Parking Spots; #0118,(501) 794-5900,I-30 Exit 121; 7801 Alcoa Rd,Benton,AR,72015,USA
