City	pop90	pop80	growth	area	popdens	blackpop	hispop	asianpop	pctblack	pcthisp	pctasian	k12enr	pct.bach	pct.elder	medinc	taxes	pct.pa	poverty	pct.1par	unempl	laborchg	femlab	pct.manu	pubtrans	medvalue	medrent	pct.rent	oldhomes	pct.cond	pct.sing	infmort	mean.jul	precip	tot.mort	heart	cancer	lung	suicide	vdeaths	PM.max	PM.ave	SO2.ave	CO.max	NO2.ave	Ozone	Lead	tot.tax	COL.util	COL.ptax	COL.food	COL.tran	job.grow	cycthrt	pct.mobi	home90	commute	murder	rape	robbery	assault	violent	burglary	theft	auto.thft	tot.prop	ctrend	zeroday	freeze	hot	ddays	high.jul	low.jan
St.Louis.MO	383733	452801	-15.3	61.9	6199	188408	5124	3733	47.5	1.3	0.9	77.4	15.3	16.6	19458	692	13.6	24.6	43.6	9	-6.9	53.1	15.1	12.2	50700	342	54.9	55.7	1.6	39.2	14.6	78.4	37.9	929.09	394.3	224.54	33.92	12.4	14.65	103	49	0.016	7	0.026	0.12	0.21	3552	120	113	109	101	4.01	0	5	129300	49.9	10.3	25	209.9	437.4	658	1291	3052	585	4928	1	3	107	37	6225	89	20
Sacramento.CA	382816	275741	38.8	96.3	3975	56521	60007	55426	15.3	16.2	15	90.3	23.5	12.1	28183	426	16.2	17.2	30	7.2	38.4	56.5	7.7	4	115800	495	48.7	14.5	4.4	30.9	10.4	75.7	17.5	750.25	284.92	181.35	42.4	14.92	17.69	86	30	0.007	11	0.024	0.16	0.04	2358	99	171	107	117	8.83	-1	5	263200	47.3	6.7	44	204.2	339.4	550	1630	3724	979	6333	-1	0	17	77	4002	93	38
Fresno.CA	376130	217491	72.9	99.1	3795	29409	105787	44358	8.3	29.9	12.5	95.9	19.1	10.1	24923	305	19.6	24	29.3	11	50.4	52.9	9.2	2.1	80300	441	51.8	8.1	4.4	24.1	9	81.9	10.6	746.98	289.59	158.2	34.61	10.04	33.41	142	60	0.004	9	0.025	0.16	.	2272	100	107	103	110	6.16	1	6	155500	41.2	9.4	61	228.1	513.6	751	1930	3993	1118	7041	0	0	29	107	4321	98	37
Tulsa.OK	375307	360919	4	183.5	2045	49825	9564	5133	13.6	2.6	1.4	87.8	25.8	12.7	25708	446	5.9	15	22.2	6	2.4	58.1	14.2	1.6	60500	358	44.2	10.4	4.2	32.7	10.4	83.3	40.6	845.19	368.71	194.09	40.06	13.4	17.49	73	29	0.01	5	0.017	0.12	0.21	2775	92	66	93	91	3.56	1	7	108200	42.3	6.5	56.2	166.5	386.8	560	1728	3033	1007	5768	1	1	85	70	5629	94	25
Oakland.CA	373219	339337	10	56.1	6653	163335	51711	54931	43.9	13.9	14.8	86.7	27.2	12	27095	571	17.8	18.8	38.9	7.3	13.8	56.7	10.6	17.9	177400	538	58.4	37.8	3.2	33.2	13.2	62.1	24.3	756.54	298.76	183.25	33.56	11.86	12.91	118	36	0.003	7	0.024	0.12	0.2	2905	110	270	110	119	6.22	0	2	431200	57.5	10.1	50.8	275	386.7	672	1547	4132	824	6503	-1	0	0	1	3119	69	44
Honolulu.CDP.HI	371320	365048	1.7	82.8	4485	4821	16704	257552	1.3	4.6	70.5	76.1	27.7	16	37190	521	5.8	8.4	22	2.3	3.3	61.2	5.7	13.4	353900	623	53	7.6	29.7	27.4	4.9	78.9	21.5	582.85	316.71	138.6	19.13	8.37	7.77	63	18	0.002	3	.	0.05	0.02	4979	97	124	125	120	1.89	0	0	556600	52.8	3.2	37.2	80.4	98.9	183	1171	4185	392	5748	0	0	0	9	4221	87	65
Miami.FL	367016	346681	5.9	35.6	10309	98207	223964	2272	27.4	62.5	0.6	90.3	12.8	16.6	16925	464	18	31.2	39.1	10.7	0.3	50.7	14.4	12.9	79200	404	66.9	11.6	11.1	28.9	7.2	82.6	55.9	923.91	385.37	205.31	30.46	16	17.19	61	29	0.001	8	0.015	0.12	0.02	993	83	188	102	109	4.55	-1	2	151100	53.5	15.6	61.3	846.1	865.4	1727	2830	6266	1838	10934	0	0	0	30	4244	89	59
Pittsburgh.PA	366852	423959	-13.5	55.6	6598	95362	3468	5937	25.8	0.9	1.6	75.8	20.1	17.9	20747	646	13.7	21.4	35.3	5.4	-9.7	49.7	8.5	22.2	41200	368	47.7	55.3	2.7	36.2	14.7	72.1	36.9	1123.84	501.82	284.63	42.25	12.54	11.38	154	39	0.024	6	0.031	0.12	0.08	4607	132	230	109	119	2.75	-1	4	139700	49.8	2.3	27	113.9	157.6	274	692	1479	594	2765	0	5	124	7	6577	83	19
Cincinnati.OH	364278	385409	-5.5	77.2	4719	138132	2386	4030	37.9	0.7	1.1	81.3	22.2	13.9	21006	615	14.3	24.3	39.1	5.9	-1.2	55.1	15.4	11.2	61900	329	61.7	43.1	2	39.5	11.1	76.4	40.7	728.45	303.07	184.91	32.57	11.18	9.69	78	34	0.026	5	0.03	0.14	0.11	3399	112	136	96	108	6.53	0	4	126300	48.9	4	45.4	123.5	223.2	351	934	3192	246	4372	0	2	98	28	6032	86	20
Minneapolis.MN	362696	370951	-2.2	54.9	6606	47948	7900	15723	13	2.1	4.3	84.8	30.3	13	25324	522	10.5	18.5	32	4.8	2.9	62.6	14.1	16	71700	424	50.3	53.2	3.6	38.5	11.3	73.6	28.3	665.19	253.27	161.92	29.18	11.97	9.58	136	31	0.011	11	0.024	0.09	0.05	3744	110	215	95	107	5.3	0	2	166500	45	3	47.5	130.2	185.7	319	1151	3531	495	5177	-1	34	158	15	8744	83	2
Omaha.NE	339671	313939	8.2	100.6	3376	43989	10288	3412	13.1	3.1	1	81.7	23.1	12.9	26927	411	6.5	12.6	25.2	3.2	14.9	61.8	11.8	3.2	54600	386	40.8	27	1.7	30.6	11.6	76.9	29.9	756.8	333.52	173.55	35.91	11.32	11	108	41	0.002	8	.	0.08	.	2723	99	160	96	105	1.5	-1	3	111300	38.8	3.7	38.8	91.8	305.4	401	1038	3405	306	4749	-1	13	138	38	7222	89	10
Toledo.OH	329325	354635	-7.1	80.6	4086	65598	13207	3487	19.7	4	1	78.5	14.1	13.6	24819	377	12.3	19.1	28.8	9.6	-3	54.4	19.6	3	48900	378	39.3	35.1	1.4	29.7	10.9	72.1	33	906.81	425.97	216.89	42.01	11.24	16.12	62	26	0.007	4	.	0.12	0.48	3184	141	112	101	101	3.94	0	5	109700	40	5.4	76.3	244.8	219.6	470	1358	4179	815	6352	1	8	145	13	7066	83	16
Buffalo.NY	323284	357870	-9.7	40.6	7963	100579	16129	3261	30.7	4.9	1	84	16	14.8	18482	404	18.7	25.6	40.6	9.5	-1.9	51.6	16.2	13.4	46700	352	56.9	68.1	0.7	35.6	14.6	71.1	38.6	873.04	420.59	210.63	33.13	6.31	7.32	66	27	0.014	4	0.022	0.11	0.04	4601	108	212	112	119	4.07	0	2	138800	41.9	3.6	37.1	177.8	326.1	508	1175	2705	490	4370	1	5	137	2	7364	80	17
Wichita.KS	311746	279838	11.4	115.1	2708	34301	15250	7773	11.3	5	2.6	86.8	22.7	12.4	28024	249	6.3	12.5	21.2	4.7	9.3	60.8	25.4	1.2	56700	395	41.1	14.9	2.5	30	9.4	81.4	29.3	803.47	330.74	187.32	36.68	11.54	15.46	94	39	0.006	6	.	0.1	0.02	2283	112	97	98	101	4.91	1	6	107400	38.7	4.2	66.4	175.9	202.7	383	1608	4143	452	6203	0	2	114	62	6360	93	19
Mesa.AZ	296645	152404	94.6	108.6	2732	5342	31357	4355	1.9	10.9	1.5	96.1	21	12.4	30273	158	3.8	9.5	17.2	4.6	105.3	58.5	18.5	0.9	86500	470	39.1	1.1	7.1	24	8.7	91.2	8.5	762.55	292.02	190.85	43.07	16.21	17.39	112	50	0.005	10	0.021	0.12	0.11	2085	99	101	100	116	11.51	-1	11	153800	49	7.1	40.5	150.9	362.1	520	1825	4714	850	7389	0	0	32	164	5060	105	39
Colorado.Springs.CO	295815	215105	37.5	183.2	1615	19746	25662	6845	7	9.1	2.4	93.6	27.5	9.2	28928	300	5.3	10.9	18.1	5.9	39.4	61	15.9	1.3	81900	413	45.4	8.5	5.6	26.7	10.8	70.8	16.2	583.1	202.76	128.46	44.08	14.11	17.13	107	29	.	7	.	0.09	0.03	2758	86	130	104	101	5.4	1	5	153900	39.8	3.6	56.7	72.1	199.7	275	1444	4202	417	6063	-1	7	162	15	6934	85	16
Las.Vegas.NV	295516	164674	79.5	83.3	3548	29529	32369	9325	11.4	12.5	3.6	93	13.4	10.3	30590	229	6	11.5	25.1	6.1	61.4	63.5	4.3	2.9	89200	490	49.6	0.8	5.4	26.2	5.5	91.1	4.1	836.32	318.02	205.81	51.39	26.7	17.4	143	58	.	12	0.03	0.09	.	931	82	102	97	107	12.22	-1	15	168500	44.1	9.2	61.5	258.6	252.4	520	1680	3778	732	6190	-1	0	41	131	5547	105	33
Santa.Ana.CA	288024	204023	41.2	27.1	10628	7685	191383	28585	2.6	65.2	9.7	94.6	10.6	5.6	35162	338	8.5	18.1	24.8	6.2	50.9	61.1	29.9	8.4	185400	736	51.7	6.1	16.1	16.6	7.1	72.6	12.3	599.4	250.81	148.68	27.79	9.04	11.45	116	46	0.002	9	0.045	0.2	0.06	4378	108	307	112	120	11.82	0	4	484900	54.6	4.8	27	162.4	223.9	391	1293	3279	810	5382	0	0	0	5	2437	75	47
Tampa.FL	284737	271577	4.8	108.7	2619	70131	42009	3794	25	15	1.4	88.4	18.7	14.6	22772	441	9.5	19.4	30.2	6.7	14.1	56.9	9.9	3.4	59000	408	44.5	12.6	4.6	32.3	11.7	82.1	43.9	1219.41	543.58	303.97	57.45	16.1	17.94	72	31	0.007	5	0.013	0.11	.	856	83	148	98	99	10.56	-1	14	127700	46.8	6.7	51	283.4	650.2	940	1979	4500	692	7171	0	0	4	81	4084	90	50
Arlington.TX	275907	160113	72.3	93	2967	22009	23312	10271	8.4	8.9	3.9	92.5	30	5	35048	331	2.7	8.2	17.8	5.4	72.7	69.7	18.9	0.2	82800	444	48.2	0.6	3.4	24.8	8	85.3	33.7	419.21	162.27	95.07	17.35	9.55	10.4	48	25	0.002	4	0.014	0.15	0.02	1096	89	179	104	104	8.91	1	6	132900	49.7	10.2	58.7	238.7	389.2	638	2362	5483	1228	9073	-1	0	39	88	4969	98	34
Anaheim.CA	274162	219494	24.9	44.3	6189	6780	83755	25018	2.5	31.4	9.4	91.6	18.8	8.4	39620	409	6.6	10.6	22.2	5.4	25.5	63.5	24.3	3.8	218700	712	50.8	2.3	8.4	19.9	6	72.6	12.3	599.4	250.81	148.68	27.79	9.04	11.45	116	46	0.002	9	0.045	0.2	0.06	4378	108	307	112	120	11.82	0	4	484900	54.6	4.8	27	162.4	223.9	391	1293	3279	810	5382	0	0	0	5	2437	75	47
Louisville.KY	271038	298694	-9.3	62.1	4365	79783	1756	1975	29.7	0.7	0.7	82.7	17.2	16.6	20141	534	11.5	22.6	34.1	7.7	-5.8	52.6	16.3	8.5	44300	308	45.1	36.9	3.1	35	16.8	77.2	44.4	965.72	406.55	245	47.03	13.75	13.86	67	37	0.012	7	.	0.13	0.06	4009	97	86	98	99	3.98	0	4	103100	46	5.3	34.3	139.2	203.6	348	1112	2856	353	4321	-1	2	92	24	5908	88	24
St.Paul.MN	268266	270230	-0.7	52.8	5081	20083	11476	19197	7.4	4.2	7.1	80.7	26.5	13.7	26498	343	9.7	16.7	28	5.1	4.4	60.4	17.2	10.5	70900	424	46.1	46.9	2.9	34.7	10.3	73.6	28.3	665.19	253.27	161.92	29.18	11.97	9.58	136	31	0.011	11	0.024	0.09	0.05	3744	110	215	95	107	5.3	0	2	166500	45	3	27	162.4	223.9	391	1151	3531	495	5177	-1	34	158	15	8744	83	2
Newark.NJ	267849	329248	-18.6	23.8	11254	160885	71761	3281	58.5	26.1	1.2	86.3	8.5	9.3	21650	318	22.2	26.3	49.4	12.6	-2.4	53.4	20.6	24.6	110000	445	76.9	35.1	2.1	27.5	19.8	77.8	44	915.68	355.75	226.5	29.11	5.1	9.26	77	37	0.013	11	0.034	0.14	1.04	2716	127	463	110	113	0.18	1	0	375900	56.2	7.4	41.4	436.6	363.2	807	1219	2832	1938	5989	0	.	.	.	.	.	.
Corpus.Christi.TX	266412	232134	14.8	135	1973	12347	129708	2390	4.8	50.4	0.9	94	17.8	10.1	25773	263	8.9	20	23.4	7.6	11.7	54.6	9.4	1.9	56500	373	43.4	5	2.8	22.5	8.4	84.1	30.1	721.08	273.23	179.77	28.29	12	14.86	72	.	0.004	.	.	0.11	.	1019	79	131	93	83	3.95	0	5	97300	41.4	7.3	59.5	125.3	319.4	452	2235	5389	389	8022	0	0	7	96	4404	94	46
Birmingham.AL	264984	284413	-6.8	148.5	1784	168277	1038	1478	63.3	0.4	0.6	90.5	16.2	14.8	19193	547	10.8	24.8	38.2	7.3	-3	53.7	12.4	3.6	44500	322	46.6	17	1.6	31.9	19.2	79.8	54.6	1016.95	386.09	225.71	42.19	14.1	25.67	133	42	0.007	8	.	0.11	0.15	2702	87	48	97	100	3.01	0	8	109200	49.4	15.2	47.6	227.9	450.4	694	1515	3080	677	5272	1	0	60	39	4772	90	33
Norfolk.VA	253768	266979	-4.9	53.8	4717	102012	7611	6815	39.1	2.9	2.6	91	16.8	10.5	23563	797	9.3	19.3	29.4	6.4	3.6	53.4	10.3	4.7	74500	438	56	14.9	2.9	26.8	15.5	78.2	44.6	716.56	277.84	181.36	27.65	11.82	9.53	60	28	0.007	6	0.02	0.11	0.03	2401	104	118	101	111	3.57	1	4	163500	45.6	9.6	45.1	183.5	199.6	393	1173	4036	463	5672	1	0	54	30	4929	87	32
Anchorage.AK	245866	174431	41	1697.6	145	14544	9258	10910	6.4	4.1	4.8	95	26.9	3.6	43946	793	6.4	7.1	19.3	6.7	36.2	69.5	3.6	2.5	109700	564	47.2	0.6	9.2	22.9	11.4	58.4	15.9	345.06	88.36	88.81	13.7	11.93	20.77	148	37	.	10	.	.	.	0	110	171	139	120	6.82	0	7	218100	39.2	5.2	80.8	127.3	264.2	397	904	3889	578	5371	0	41	192	12	10911	65	6
Aurora.CO	239626	158588	51.1	132.5	1808	25394	14768	8376	11.4	6.6	3.8	95.2	26.3	6.8	33214	396	3.9	7.4	22.2	4.4	44.6	71	9.6	3.9	80200	455	41.3	0.9	17.4	28.1	9.7	73.5	15.4	584.15	206.46	136.07	38.2	15.26	11.9	96	42	0.008	10	0.028	0.11	0.11	3139	98	139	100	109	4.43	-1	2	165500	48.1	5.1	46.7	118.7	343.6	467	1524	4012	610	6146	-1	.	.	.	.	.	.
Riverside.CA	238601	170591	39.9	77.7	3071	16740	58826	11821	7.4	26	5.2	91.4	19.3	8.9	34801	328	8.9	11.9	23.1	10.4	35.2	57.1	16.7	1.6	134800	575	43.7	7.4	4.3	20.6	9.7	77.9	9.6	755.45	320.92	170.58	40.48	13.37	22.64	189	76	0.004	8	0.043	0.25	0.07	2303	104	166	105	117	10.95	0	11	254600	59.3	8.2	42.7	194.2	643.3	846	2125	3464	935	6524	-1	0	0	5	2437	75	47
St.Petersburg.FL	235306	238647	-1.4	59.2	3975	46726	6255	3967	19.6	2.6	1.7	89.2	18.6	22.2	23577	376	6.1	13.6	24.5	7.2	17.3	52.5	12.8	3	63000	417	37	11.4	8.5	35.1	11.9	83.1	48.6	1219.41	543.58	303.97	57.45	16.1	17.94	72	31	0.007	5	0.013	0.11	.	856	83	148	98	99	10.56	-1	14	127700	46.8	6.7	51	283.4	650.2	940	1979	4500	692	7171	0	0	4	81	4084	90	50
Rochester.NY	234163	241741	-3.1	35.8	6541	73024	20055	4081	31.5	8.7	1.8	85.5	19	12.1	22785	568	16.5	23.5	43.1	7	0.7	56.9	24.8	10.7	65200	442	56	58.7	1.1	35.3	12	70.2	32	842.37	347.26	210.49	35.41	11.27	12.27	65	24	0.013	4	.	0.11	0.03	5281	123	254	115	122	6.19	1	4	162900	42.5	5.3	28.3	110.2	131.3	247	961	3409	278	4648	0	.	.	.	.	.	.
Lexington.Fayette.KY	232562	204165	13.9	284.5	817	30143	2556	3713	13.4	1.1	1.6	90	30.6	9.9	28056	450	5.6	14.1	22.5	3.8	18.8	61.6	12.4	1.6	73900	394	47	11.6	3.6	29.1	12.6	75.8	44.6	786.89	303.38	212.45	34.06	12.41	15.3	53	27	0.008	5	0.016	0.1	.	3741	78	95	98	94	7.18	1	5	124700	39.8	4.8	46.6	101.1	370.2	476	1113	3604	278	4995	1	2	97	16	5926	86	23
Jersey.City.NJ	228575	223532	2.3	14.9	15341	67864	55395	25959	29.7	24.2	11.4	72.7	21.4	11.1	29054	426	12.1	18.9	38	10	20	57.1	15.6	36.7	127700	527	70.4	50.8	6.4	28.7	13.9	74.9	43.5	1010.61	353.06	212.18	27.56	5.69	13.12	92	36	0.014	8	0.028	0.14	0.06	2716	127	463	110	113	0.18	0	0	375900	56.2	7.4	41.4	436.6	363.6	807	1219	2832	1938	5989	0	.	.	.	.	.	.
Baton.Rouge.LA	224704	220394	2	73.9	3041	96346	3442	3673	43.9	1.6	1.7	79.9	28.3	11.5	21898	499	9.9	26.2	32.3	6	2.8	55.2	9.9	1.9	67900	354	47.2	7.3	4.2	29.7	14.6	82.3	60.9	727.48	293.98	171.13	21.2	13.06	19.31	70	28	0.008	5	0.019	0.14	0.05	2397	82	40	103	102	3.13	-1	8	127900	48.9	10.3	37.5	177.4	702.9	891	5732	5006	656	11394	1	.	.	.	.	.	.
Akron.OH	223621	237177	-5.7	62.2	3595	54656	1601	2701	24.5	0.7	1.2	88.9	14.9	14.9	22279	415	14.2	20.5	31.2	7.5	-2.1	51.6	20.7	3.3	43800	360	41.3	36.8	2.2	30.8	11.3	71.9	36.8	1089.79	424.83	251.77	38.46	11.18	9.39	59	30	0.015	3	.	0.13	0.07	3231	122	119	96	99	4.67	1	3	114500	44.6	6.1	53.3	178	366.2	550	1216	3808	494	5518	0	5	128	7	6858	82	17
Raleigh.NC	220524	150255	46.8	88.1	2503	57354	2940	5127	27.6	1.4	2.5	93.2	40.6	8.8	32451	359	4.1	11.8	23.6	4.1	54.7	66.4	12.3	3	96600	479	53.1	7	9.2	32.2	12.2	78.6	45	657.67	250.72	158.54	24.2	13.87	15.36	51	26	.	9	0.016	0.11	.	3023	99	111	92	95	11.92	0	10	165200	43.3	6.8	32.4	112.1	275.8	395	1605	3302	308	5215	1	0	82	25	4908	88	29
Stockton.CA	219621	148283	48.1	52.6	4175	20321	52653	48087	9.6	25	22.8	94	15	10.5	26876	307	21.3	21.4	27.7	11.9	34.4	51.1	12.3	2	107200	476	51.5	11.7	6.1	23.4	10.3	77.7	14	810.4	329.36	276.31	34.75	12.48	17.89	134	52	.	8	0.025	0.11	.	2238	103	146	103	107	5.99	1	5	235100	46.6	11.4	52.7	263.9	319.1	594	1999	4588	841	7428	1	.	.	.	.	.	.
Richmond.VA	202263	219214	-7.7	60.1	3365	112122	1898	1787	55.2	0.9	0.9	89.2	24.2	15.4	23551	1292	10.2	20.9	40.5	6.8	-3.3	57.4	12.2	12.6	66600	413	53.7	30	1.6	35.9	15.5	78	43.2	886.74	354.3	217.76	35.12	14.67	12.94	60	28	0.011	4	0.024	0.12	.	2813	105	110	101	110	5.51	0	2	144600	46.9	13.5	40.8	163.8	233.9	411	1129	3594	427	5150	1	0	85	41	5292	88	27
Mobile.AL	201896	200452	0.7	118	1711	76407	2002	1992	38.9	1	1	81.1	21.4	13.7	22446	486	8.4	22.4	31.3	7.3	2.6	53.3	12.8	1.6	55400	332	41.9	10	1.7	28.4	15.1	82.3	64	959.9	393.98	221.63	48.44	12.16	28.52	73	38	0.009	.	.	0.09	.	2373	88	42	99	109	4.15	0	10	102400	47.3	9.4	42.4	179.2	788.2	977	2037	3112	318	5467	0	0	19	81	4261	91	41
